claim_id,claim,status,evidence,allowed_wording
C01,"LEO lowers total energy vs hopcount at relayCap=1 without interference",SUPPORTED_CONFIRMATORY,"R6 primary_summary.csv; -4.968%, Holm p=0.000210","LEO used less total energy than hopcount in the cap1 non-interference primary stratum."
C02,"LEO lowers total energy vs hopcount at relayCap=2 without interference",NOT_SUPPORTED,"R6 primary_summary.csv; -0.226%, Holm p=0.907930","No supported energy difference was detected at cap2."
C03,"LEO lowers total energy vs hopcount at relayCap=3 without interference",NOT_SUPPORTED,"R6 primary_summary.csv; +1.896%, Holm p=0.542877","No supported energy saving was detected at cap3."
C04,"LEO reduces ping timeouts vs hopcount across non-interference relay caps",SUPPORTED_CONFIRMATORY,"R6 primary_summary.csv; all three caps Holm-significant","LEO had fewer ping timeouts than hopcount in all three non-interference relay-cap strata."
C05,"LEO reduces no-route outcomes vs hopcount across non-interference relay caps",SUPPORTED_CONFIRMATORY,"R6 primary_summary.csv; all three caps Holm-significant","LEO had fewer no-route outcomes than hopcount in all three non-interference relay-cap strata."
C06,"LEO uses less energy than operational LQI",CONTRADICTED,"R6 primary_summary.csv; +6.077% to +13.739%, all Holm-significant","LEO used more total energy than operational LQI in all three non-interference relay-cap strata."
C07,"LEO generally improves no-route behavior vs operational LQI",NOT_SUPPORTED,"R6 primary_summary.csv; cap1 significantly worse, cap2/3 inconclusive","No general no-route advantage over operational LQI is supported."
C08,"Interference strata establish significant LEO energy effects",LIMITED_UNDERPOWERED,"5 cells/stratum; exact two-sided sign-flip min p=0.0625","Interference results are limited-evidence sensitivity results, not confirmatory significance claims."
C09,"LEO changes routes relative to hopcount and LQI",SUPPORTED_DESCRIPTIVE,"R6 primary_route_divergence.csv","Among jointly successful PINGs, LEO often selected a different routeFingerprint."
C10,"LQI-literal is an independent useful baseline in the static primary domain",CONTRADICTED_DEGENERATE,"105 config pairs; 2100 main and 399000 route rows exactly match hopcount","The literal Eq.2-3 baseline is degenerate with hopcount in the tested static primary domain."
C11,"Eq.17 bounded vs literal changes the frozen sensitivity results",NOT_OBSERVED_IN_TESTED_DOMAIN,"36 configs; main effects zero; 136800 route transactions identical","No operational difference was observed between bounded and literal Eq.17 over the tested sensitivity domain."
C12,"nRF52840 energy accounting changes routing decisions",CONTRADICTED,"273600 route transactions; zero status/fingerprint/hop mismatches","Changing energy accounting altered the absolute energy scale but not routing in the frozen sensitivity set."
C13,"The mobility extension is part of source-reproduction primary inference",EXPLORATORY_ONLY,"R4/R6 scope freeze","Mobility results are exploratory extensions and are reported separately."
C14,"v1.1.0 exactly replays the unpublished source simulator",NOT_CLAIMED,"R4 source-fidelity boundary","v1.1.0 is an independent source-constrained reconstruction, not an exact replay."
C15,"LEO is universally the best routing metric",NOT_SUPPORTED,"R6 mixed endpoint/comparator/cap results","No universal superiority claim is supported."
